paper,jel
"w0000","Z0"
"w0022","H"
"w0022","913"
"w0087","F"
"w0087","420"
"w0087","440"
"w0131","F"
"w0131","440"
"w0131","420"
"w0134","H"
"w0134","913"
"w0180","H"
"w0180","913"
"w0213","H"
"w0213","913"
"w0240","913"
"w0240","H"
"w0256","H"
"w0256","913"
"w0279","E"
"w0279","130"
"w0283","E"
"w0283","320"
"w0285","823"
"w0285","J"
"w0285","824"
"w0288","430"
"w0288","F"
"w0290","430"
"w0290","F"
"w0300","023"
"w0300","042"
"w0308","H"
"w0308","913"
"w0319","E"
"w0319","024"
"w0319","320"
"w0324","E"
"w0324","310"
"w0324","320"
"w0325","C"
"w0325","211"
"w0338","H"
"w0338","916"
"w0338","L"
"w0338","612"
"w0349","E"
"w0349","323"
"w0349","520"
"w0349","G"
"w0353","912"
"w0353","825"
"w0353","H"
"w0353","J"
"w0357","800"
"w0357","J"
"w0368","E"
"w0368","320"
"w0373","313"
"w0373","E"
"w0376","023"
"w0376","021"
"w0378","800"
"w0378","J"
"w0381","310"
"w0381","E"
"w0383","323"
"w0383","932"
"w0383","H"
"w0383","E"
"w0388","E"
"w0388","320"
"w0393","820"
"w0393","J"
"w0398","H"
"w0398","913"
"w0408","226"
"w0408","C"
"w0409","E"
"w0409","523"
"w0409","G"
"w0409","323"
"w0412","130"
"w0412","E"
"w0413","G"
"w0413","521"
"w0413","E"
"w0413","321"
"w0414","430"
"w0414","F"
"w0414","C"
"w0414","210"
"w0415","800"
"w0415","J"
"w0416","H"
"w0416","913"
"w0417","H"
"w0417","913"
"w0418","311"
"w0418","E"
"w0419","024"
"w0420","L"
"w0420","613"
"w0420","Q"
"w0420","722"
"w0421","J"
"w0421","821"
"w0422","E"
"w0422","311"
"w0423","C"
"w0423","226"
"w0424","J"
"w0424","131"
"w0424","821"
"w0424","E"
"w0425","611"
"w0425","022"
"w0425","L"
"w0426","F"
"w0426","430"
"w0427","C"
"w0427","226"
"w0428","E"
"w0428","321"
"w0429","F"
"w0429","430"
"w0430","131"
"w0430","E"
"w0433","023"
"w0434","226"
"w0434","620"
"w0434","C"
"w0434","L"
"w0435","321"
"w0435","E"
"w0435","131"
"w0437","134"
"w0437","E"
"w0437","431"
"w0437","F"
"w0438","L"
"w0438","620"
"w0439","431"
"w0439","F"
"w0440","130"
"w0440","E"
"w0441","800"
"w0441","J"
"w0442","E"
"w0442","313"
"w0444","C"
"w0444","210"
"w0444","G"
"w0444","520"
"w0445","130"
"w0445","E"
"w0445","C"
"w0445","224"
"w0446","J"
"w0446","824"
"w0447","E"
"w0447","313"
"w0447","315"
"w0448","E"
"w0448","226"
"w0448","321"
"w0448","C"
"w0449","F"
"w0449","431"
"w0450","430"
"w0450","F"
"w0451","H"
"w0451","913"
"w0452","430"
"w0452","F"
"w0453","023"
"w0454","H"
"w0454","913"
"w0455","E"
"w0455","134"
"w0456","313"
"w0456","E"
"w0457","E"
"w0457","323"
"w0458","E"
"w0458","313"
"w0459","E"
"w0459","311"
"w0460","133"
"w0460","E"
"w0462","430"
"w0462","F"
"w0464","131"
"w0464","311"
"w0464","E"
"w0465","323"
"w0465","E"
"w0467","E"
"w0467","320"
"w0467","820"
"w0467","J"
"w0469","F"
"w0469","420"
"w0469","430"
"w0470","311"
"w0470","E"
"w0470","C"
"w0470","224"
"w0471","313"
"w0471","E"
"w0472","430"
"w0472","F"
"w0473","F"
"w0473","430"
"w0474","F"
"w0474","431"
"w0476","430"
"w0476","F"
"w0478","811"
"w0478","912"
"w0478","H"
"w0478","J"
"w0479","800"
"w0479","J"
"w0480","521"
"w0480","G"
"w0482","442"
"w0482","441"
"w0482","F"
"w0484","813"
"w0484","J"
"w0485","432"
"w0485","F"
"w0485","431"
"w0486","122"
"w0486","L"
"w0486","E"
"w0486","635"
"w0487","323"
"w0487","E"
"w0488","H"
"w0488","921"
"w0492","430"
"w0492","423"
"w0492","F"
"w0494","432"
"w0494","431"
"w0494","F"
"w0496","521"
"w0496","G"
"w0498","023"
"w0499","300"
"w0499","E"
"w0500","F"
"w0500","431"
"w0501","431"
"w0501","F"
"w0502","E"
"w0502","131"
"w0504","320"
"w0504","E"
"w0505","E"
"w0505","131"
"w0505","C"
"w0505","211"
"w0506","211"
"w0506","311"
"w0506","C"
"w0506","E"
"w0507","311"
"w0507","313"
"w0507","E"
"w0509","G"
"w0509","521"
"w0510","H"
"w0510","229"
"w0510","C"
"w0510","913"
"w0511","F"
"w0511","441"
"w0512","J"
"w0512","820"
"w0513","915"
"w0513","821"
"w0513","H"
"w0513","J"
"w0514","J"
"w0514","826"
"w0515","E"
"w0515","130"
"w0516","431"
"w0516","F"
"w0517","E"
"w0517","311"
"w0517","313"
"w0519","022"
"w0519","824"
"w0519","J"
"w0520","E"
"w0520","323"
"w0521","421"
"w0521","431"
"w0521","F"
"w0523","Q"
"w0523","730"
"w0524","311"
"w0524","E"
"w0525","E"
"w0525","313"
"w0525","134"
"w0527","430"
"w0527","F"
"w0528","431"
"w0528","F"
"w0531","F"
"w0531","430"
"w0534","023"
"w0536","E"
"w0536","313"
"w0539","913"
"w0539","H"
"w0540","411"
"w0540","431"
"w0540","F"
"w0542","313"
"w0542","E"
"w0543","323"
"w0543","932"
"w0543","H"
"w0543","E"
"w0545","130"
"w0545","E"
"w0546","G"
"w0546","E"
"w0546","323"
"w0546","520"
"w0547","323"
"w0547","G"
"w0547","E"
"w0547","520"
"w0549","E"
"w0549","431"
"w0549","F"
"w0549","134"
"w0550","134"
"w0550","E"
"w0551","E"
"w0551","134"
"w0552","824"
"w0552","823"
"w0552","J"
"w0553","932"
"w0553","E"
"w0553","323"
"w0553","H"
"w0554","F"
"w0554","431"
"w0556","420"
"w0556","400"
"w0556","F"
"w0557","432"
"w0557","431"
"w0557","F"
"w0558","131"
"w0558","023"
"w0558","E"
"w0559","311"
"w0559","134"
"w0559","E"
"w0560","130"
"w0560","J"
"w0560","823"
"w0560","E"
"w0562","900"
"w0562","H"
"w0563","313"
"w0563","311"
"w0563","E"
"w0564","E"
"w0564","313"
"w0565","311"
"w0565","E"
"w0565","313"
"w0566","311"
"w0566","E"
"w0567","430"
"w0567","311"
"w0567","E"
"w0567","F"
"w0568","310"
"w0568","E"
"w0569","430"
"w0569","F"
"w0570","830"
"w0570","J"
"w0571","023"
"w0571","480"
"w0571","F"
"w0572","441"
"w0572","F"
"w0573","311"
"w0573","E"
"w0574","311"
"w0574","E"
"w0575","F"
"w0575","430"
"w0576","G"
"w0576","E"
"w0576","323"
"w0576","521"
"w0577","G"
"w0577","522"
"w0579","321"
"w0579","915"
"w0579","E"
"w0579","H"
"w0580","133"
"w0580","E"
"w0580","023"
"w0581","441"
"w0581","E"
"w0581","F"
"w0581","313"
"w0582","E"
"w0582","723"
"w0582","111"
"w0582","Q"
"w0583","H"
"w0583","320"
"w0583","910"
"w0583","E"
"w0584","J"
"w0584","813"
"w0585","430"
"w0585","F"
"w0586","313"
"w0586","E"
"w0587","311"
"w0587","313"
"w0587","E"
"w0588","313"
"w0588","324"
"w0588","E"
"w0589","023"
"w0591","F"
"w0591","431"
"w0592","431"
"w0592","F"
"w0593","313"
"w0593","E"
"w0593","311"
"w0594","521"
"w0594","G"
"w0595","313"
"w0595","E"
"w0596","E"
"w0596","023"
"w0596","321"
"w0598","E"
"w0598","313"
"w0598","311"
"w0599","431"
"w0599","F"
"w0600","820"
"w0600","H"
"w0600","J"
"w0600","910"
"w0601","132"
"w0601","E"
"w0602","E"
"w0602","311"
"w0602","134"
"w0603","824"
"w0603","J"
"w0608","220"
"w0608","131"
"w0608","E"
"w0608","C"
"w0609","913"
"w0609","H"
"w0612","H"
"w0612","913"
"w0612","851"
"w0612","J"
"w0614","210"
"w0614","022"
"w0614","C"
"w0615","H"
"w0615","913"
"w0616","320"
"w0616","324"
"w0616","E"
"w0617","917"
"w0617","H"
"w0620","020"
"w0622","134"
"w0622","E"
"w0622","313"
"w0627","915"
"w0627","H"
"w0629","130"
"w0629","E"
"w0630","E"
"w0630","131"
"w0630","311"
"w0632","E"
"w0632","320"
"w0637","323"
"w0637","321"
"w0637","E"
"w0638","313"
"w0638","E"
"w0639","313"
"w0639","E"
"w0640","313"
"w0640","E"
"w0642","J2"
"w0642","M53"
"w0642","912"
