paper_id,title,author,publication_year,published_venue,jel_codes,paper_url,treatment,outcome,sign,context,identification_methods,question,answer
3593,The Effects of Pensions and Retirement Policies on Retirement in Higher Education,"Alan L. Gustman, Thomas L. Steinmeier",1991,american_economic_review,"820, 912, H, J",https://www.nber.org/papers/w3593,Early retirement supplements,Observed early retirement behavior,,"This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.",others; other cross-sectional regressions,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.

# Treatment–Outcome Pair
Treatment: Early retirement supplements
Outcome: Observed early retirement behavior

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",
3593,The Effects of Pensions and Retirement Policies on Retirement in Higher Education,"Alan L. Gustman, Thomas L. Steinmeier",1991,american_economic_review,"820, 912, H, J",https://www.nber.org/papers/w3593,Raising or abolishing mandatory retirement,Full-time work by older faculty,+,"This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.",others,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper studies retirement decisions of tenured male arts-and-sciences faculty at 26 high-quality private U.S. colleges (COFHE) using employment observed as of December 31, 1975 and retirements during 1973–78, with pension plan details reported in 1979 (and 1989 for simulations). Institutional variation includes mandatory retirement ages (65–70), normal and early-retirement eligibility, pension accruals and early-retirement supplements, and Social Security rules. The authors estimate a structural life-cycle retirement model and use Monte Carlo simulations to predict effects of raising/eliminating mandatory retirement and offering early-retirement incentives.

# Treatment–Outcome Pair
Treatment: Raising or abolishing mandatory retirement
Outcome: Full-time work by older faculty

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3599,Is Inequality Harmful for Growth? Theory and Evidence,"Torsten Persson, Guido Tabellini",1991,american_economic_review,"023, E, 110",https://www.nber.org/papers/w3599,Income inequality,Per capita GDP growth,-,"Combining a politico‑economic growth model with empirical tests, the paper examines whether initial income inequality reduces subsequent per‑capita GDP growth. It uses two complementary data sets: a historical panel of nine now‑developed countries divided into 20‑year episodes covering primarily 1830–1970, and a post‑war cross‑section of about 67 countries over 1960–85. Units are country (or country‑period) observations; key covariates are pre‑period inequality (top‑20% share or top20/bottom40 ratio), schooling, franchise restrictions, and initial GDP per capita, exploiting cross‑country and over‑time variation in institutions and redistribution.",other panel regressions; other cross-sectional regressions; IV,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
Combining a politico‑economic growth model with empirical tests, the paper examines whether initial income inequality reduces subsequent per‑capita GDP growth. It uses two complementary data sets: a historical panel of nine now‑developed countries divided into 20‑year episodes covering primarily 1830–1970, and a post‑war cross‑section of about 67 countries over 1960–85. Units are country (or country‑period) observations; key covariates are pre‑period inequality (top‑20% share or top20/bottom40 ratio), schooling, franchise restrictions, and initial GDP per capita, exploiting cross‑country and over‑time variation in institutions and redistribution.

# Treatment–Outcome Pair
Treatment: Income inequality
Outcome: Per capita GDP growth

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3695,The Evolution of Buyout Pricing and Financial Structure,"Steven N. Kaplan, Jeremy C. Stein",1991,quarterly_journal_of_economics,,https://www.nber.org/papers/w3695,Higher buyout prices,Bank fraction of total debt,-,"This paper studies 124 large U.S. management leveraged buyouts (MBOs) completed 1980–1989. Using transaction-level data from SEC proxy/14D filings, Mergerstat, CRSP and Compustat, the authors analyze firm-level pricing, projected cash flows, and capital-structure terms (bank term loans and revolvers, subordinated public/private debt, deferred-interest instruments, principal schedules) within the 1980s LBO/junk-bond market and evolving bank loan-sales and interest-rate environment to assess how valuation and financing changed over the decade.",other cross-sectional regressions; other time-series regressions,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper studies 124 large U.S. management leveraged buyouts (MBOs) completed 1980–1989. Using transaction-level data from SEC proxy/14D filings, Mergerstat, CRSP and Compustat, the authors analyze firm-level pricing, projected cash flows, and capital-structure terms (bank term loans and revolvers, subordinated public/private debt, deferred-interest instruments, principal schedules) within the 1980s LBO/junk-bond market and evolving bank loan-sales and interest-rate environment to assess how valuation and financing changed over the decade.

# Treatment–Outcome Pair
Treatment: Higher buyout prices
Outcome: Bank fraction of total debt

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3695,The Evolution of Buyout Pricing and Financial Structure,"Steven N. Kaplan, Jeremy C. Stein",1991,quarterly_journal_of_economics,,https://www.nber.org/papers/w3695,Accelerated bank principal repayments,Cash flow to total debt obligations,-,"This triplet concerns a subset of the paper's sample: 90 of the 124 U.S. management leveraged buyouts (MBOs) completed 1980–1989 that report bank principal repayment schedules. The analysis focuses on required principal repayments in the first two post-buyout years, documenting a sharp rise (notably between 1985 and 1986) and comparing cash-flow coverages (net cash flow and EBITDA relative to total cash obligations) across periods (pre-1986 vs. 1986–1988).",other cross-sectional regressions; other time-series regressions,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This triplet concerns a subset of the paper's sample: 90 of the 124 U.S. management leveraged buyouts (MBOs) completed 1980–1989 that report bank principal repayment schedules. The analysis focuses on required principal repayments in the first two post-buyout years, documenting a sharp rise (notably between 1985 and 1986) and comparing cash-flow coverages (net cash flow and EBITDA relative to total cash obligations) across periods (pre-1986 vs. 1986–1988).

# Treatment–Outcome Pair
Treatment: Accelerated bank principal repayments
Outcome: Cash flow to total debt obligations

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3701,The Socioeconomic Consequences of Teen Childbearing Reconsidered,"Arline T. Geronimus, Sanders Korenman",1991,quarterly_journal_of_economics,,https://www.nber.org/papers/w3701,Teen childbearing,Family income,,"This paper uses U.S. longitudinal survey data — primarily the National Longitudinal Survey of Young Women (women aged 14–24 in 1968, followed through 1982 and observed at ages 28–38) with robustness checks using sister samples from the PSID (observed in 1985) — to estimate how timing of first birth affects later socioeconomic outcomes. The unit of analysis is individual women and sibling pairs within families across the United States; analyses exploit shared family background to address unobserved heterogeneity in causal inference.",other cross-sectional regressions; other panel regressions,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper uses U.S. longitudinal survey data — primarily the National Longitudinal Survey of Young Women (women aged 14–24 in 1968, followed through 1982 and observed at ages 28–38) with robustness checks using sister samples from the PSID (observed in 1985) — to estimate how timing of first birth affects later socioeconomic outcomes. The unit of analysis is individual women and sibling pairs within families across the United States; analyses exploit shared family background to address unobserved heterogeneity in causal inference.

# Treatment–Outcome Pair
Treatment: Teen childbearing
Outcome: Family income

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",
3701,The Socioeconomic Consequences of Teen Childbearing Reconsidered,"Arline T. Geronimus, Sanders Korenman",1991,quarterly_journal_of_economics,,https://www.nber.org/papers/w3701,Failure to control family background heterogeneity,Overstatement of teen childbearing consequences,+,"This paper uses U.S. longitudinal survey data — primarily the National Longitudinal Survey of Young Women (women aged 14–24 in 1968, followed through 1982 and observed at ages 28–38) with robustness checks using sister samples from the PSID (observed in 1985) — to estimate how timing of first birth affects later socioeconomic outcomes. The unit of analysis is individual women and sibling pairs within families across the United States; analyses exploit shared family background to address unobserved heterogeneity in causal inference.",other cross-sectional regressions; other panel regressions,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper uses U.S. longitudinal survey data — primarily the National Longitudinal Survey of Young Women (women aged 14–24 in 1968, followed through 1982 and observed at ages 28–38) with robustness checks using sister samples from the PSID (observed in 1985) — to estimate how timing of first birth affects later socioeconomic outcomes. The unit of analysis is individual women and sibling pairs within families across the United States; analyses exploit shared family background to address unobserved heterogeneity in causal inference.

# Treatment–Outcome Pair
Treatment: Failure to control family background heterogeneity
Outcome: Overstatement of teen childbearing consequences

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3761,On the Labor Market Effects of Immigration and Trade,"George J. Borjas, Richard B. Freeman, Lawrence F. Katz",1991,american_economic_review,"J2, J3",https://www.nber.org/papers/w3761,Trade and immigration flows,Relative weekly wage of high school dropouts,-,"This triplet concerns U.S. workers' relative weekly wages of high‑school dropouts between 1980 and 1988. The paper uses CPS/Census microdata on workers (ages 18–64) by sex, education, and experience and industry‑level trade, output, and employment for 21 manufacturing industries to convert trade and immigration flows into implicit labor‑supply equivalents and, using industry/time‑series regressions within a standard labor‑market equilibrium model, estimate the contribution of trade and immigration to the 1980–1988 decline in relative weekly wages of dropouts.",other cross-sectional regressions; other time-series regressions; other panel regressions; others,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This triplet concerns U.S. workers' relative weekly wages of high‑school dropouts between 1980 and 1988. The paper uses CPS/Census microdata on workers (ages 18–64) by sex, education, and experience and industry‑level trade, output, and employment for 21 manufacturing industries to convert trade and immigration flows into implicit labor‑supply equivalents and, using industry/time‑series regressions within a standard labor‑market equilibrium model, estimate the contribution of trade and immigration to the 1980–1988 decline in relative weekly wages of dropouts.

# Treatment–Outcome Pair
Treatment: Trade and immigration flows
Outcome: Relative weekly wage of high school dropouts

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3761,On the Labor Market Effects of Immigration and Trade,"George J. Borjas, Richard B. Freeman, Lawrence F. Katz",1991,american_economic_review,"J2, J3",https://www.nber.org/papers/w3761,Trade and immigration,Effective supply of high school dropouts,+,"This paper studies U.S. labor-market effects of rising import competition and immigration from the late 1960s through the 1980s (analyses focus on 1967–1985 trade flows and immigrant stocks 1980–1988). Using industry-level trade, output, and employment data for 21 manufacturing industries and microdata from the CPS/Census on individuals (workers aged 18–64 by sex, education and experience), the authors convert trade flows into implicit labor-supply equivalents, estimate industry and time-series regressions, and apply a standard labor-market equilibrium model to infer impacts on relative supplies and wages of less-skilled versus more-skilled workers.",other cross-sectional regressions; other time-series regressions; other panel regressions; others,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper studies U.S. labor-market effects of rising import competition and immigration from the late 1960s through the 1980s (analyses focus on 1967–1985 trade flows and immigrant stocks 1980–1988). Using industry-level trade, output, and employment data for 21 manufacturing industries and microdata from the CPS/Census on individuals (workers aged 18–64 by sex, education and experience), the authors convert trade flows into implicit labor-supply equivalents, estimate industry and time-series regressions, and apply a standard labor-market equilibrium model to infer impacts on relative supplies and wages of less-skilled versus more-skilled workers.

# Treatment–Outcome Pair
Treatment: Trade and immigration
Outcome: Effective supply of high school dropouts

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3761,On the Labor Market Effects of Immigration and Trade,"George J. Borjas, Richard B. Freeman, Lawrence F. Katz",1991,american_economic_review,"J2, J3",https://www.nber.org/papers/w3761,Trade deficit increase,College/high school earnings differential,+,"This paper studies U.S. labor-market effects of rising import competition and immigration from the late 1960s through the 1980s (analyses focus on 1967–1985 trade flows and immigrant stocks 1980–1988). Using industry-level trade, output, and employment data for 21 manufacturing industries and microdata from the CPS/Census on individuals (workers aged 18–64 by sex, education and experience), the authors convert trade flows into implicit labor-supply equivalents, estimate industry and time-series regressions, and apply a standard labor-market equilibrium model to infer impacts on relative supplies and wages of less-skilled versus more-skilled workers.",other cross-sectional regressions; other time-series regressions; other panel regressions; others,"# Role
You are an expert economist.

# Task
Given a context and a treatment–outcome pair, predict the most likely sign of the causal effect.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Context
This paper studies U.S. labor-market effects of rising import competition and immigration from the late 1960s through the 1980s (analyses focus on 1967–1985 trade flows and immigrant stocks 1980–1988). Using industry-level trade, output, and employment data for 21 manufacturing industries and microdata from the CPS/Census on individuals (workers aged 18–64 by sex, education and experience), the authors convert trade flows into implicit labor-supply equivalents, estimate industry and time-series regressions, and apply a standard labor-market equilibrium model to infer impacts on relative supplies and wages of less-skilled versus more-skilled workers.

# Treatment–Outcome Pair
Treatment: Trade deficit increase
Outcome: College/high school earnings differential

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
