target_paper_id,title,author,publication_year,published_venue,jel_codes,paper_url,target_treatment,target_outcome,target_sign,target_context,example_details,question,answer
2983,Changes in the Structure of Wages During the 1980's:  An Evaluation     of Alternative Explanations,"John Bound, George E. Johnson",1989,American Economic Review,"J, 824",https://www.nber.org/papers/w2983,Shifts in product demand,Wage structure changes,,"Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.","[{""paper_id"": ""11986"", ""treatment"": ""Labor demand shifts"", ""outcome"": ""Wage structure changes"", ""sign"": ""+"", ""original_sign"": ""+"", ""avg_similarity"": 0.8236}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Labor demand shifts
Outcome: Wage structure changes
Context: This paper studies U.S. labor-market changes from the 1970s through 2004—highlighting 1979–1987 and 1988–2004—using individual hourly wages from CPS (MORG/May), occupational employment shares from 1980/1990/2000 IPUMS, and task-based job data (Dictionary of Occupational Titles), with supplementary IRS and ECI evidence. Units are workers and occupations across the United States. The analysis situates observed wage and employment polarization in a setting of falling computer prices, rising computerization and outsourcing, and changing institutions (minimum wage and unions) that altered labor demand by task.
Sign: +


# Target Context
Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.

# Target Treatment–Outcome Pair
Treatment: Shifts in product demand
Outcome: Wage structure changes

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",
2983,Changes in the Structure of Wages During the 1980's:  An Evaluation     of Alternative Explanations,"John Bound, George E. Johnson",1989,American Economic Review,"J, 824",https://www.nber.org/papers/w2983,Shifts in product demand,Wage structure changes,,"Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.","[{""paper_id"": ""11986"", ""treatment"": ""Labor demand shifts"", ""outcome"": ""Wage structure changes"", ""sign"": ""-"", ""original_sign"": ""+"", ""avg_similarity"": 0.8236}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Labor demand shifts
Outcome: Wage structure changes
Context: This paper studies U.S. labor-market changes from the 1970s through 2004—highlighting 1979–1987 and 1988–2004—using individual hourly wages from CPS (MORG/May), occupational employment shares from 1980/1990/2000 IPUMS, and task-based job data (Dictionary of Occupational Titles), with supplementary IRS and ECI evidence. Units are workers and occupations across the United States. The analysis situates observed wage and employment polarization in a setting of falling computer prices, rising computerization and outsourcing, and changing institutions (minimum wage and unions) that altered labor demand by task.
Sign: -


# Target Context
Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.

# Target Treatment–Outcome Pair
Treatment: Shifts in product demand
Outcome: Wage structure changes

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",
2983,Changes in the Structure of Wages During the 1980's:  An Evaluation     of Alternative Explanations,"John Bound, George E. Johnson",1989,American Economic Review,"J, 824",https://www.nber.org/papers/w2983,Shifts in product demand,Wage structure changes,,"Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.","[{""paper_id"": ""11986"", ""treatment"": ""Labor demand shifts"", ""outcome"": ""Wage structure changes"", ""sign"": ""mixed"", ""original_sign"": ""+"", ""avg_similarity"": 0.8236}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Labor demand shifts
Outcome: Wage structure changes
Context: This paper studies U.S. labor-market changes from the 1970s through 2004—highlighting 1979–1987 and 1988–2004—using individual hourly wages from CPS (MORG/May), occupational employment shares from 1980/1990/2000 IPUMS, and task-based job data (Dictionary of Occupational Titles), with supplementary IRS and ECI evidence. Units are workers and occupations across the United States. The analysis situates observed wage and employment polarization in a setting of falling computer prices, rising computerization and outsourcing, and changing institutions (minimum wage and unions) that altered labor demand by task.
Sign: mixed


# Target Context
Using 1979 and 1987 Current Population Survey data for U.S. nonagricultural employees aged 18–64, the paper analyzes group-level (education × experience × sex) changes in log hourly wages across 17 industries to explain large 1979–87 shifts: rising returns to schooling, greater experience differentials among lower-educated workers, and a narrower gender gap. The authors combine cross-sectional wage regressions, industry employment-change measures, and Oaxaca-style decompositions to evaluate explanations tied to product-demand/trade shocks, within-industry rent changes, technological bias, and changes in unobserved labor quality.

# Target Treatment–Outcome Pair
Treatment: Shifts in product demand
Outcome: Wage structure changes

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Cigarette price,Cigarette consumption,-,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""+"", ""original_sign"": ""-"", ""avg_similarity"": 0.8537}, {""paper_id"": ""7506"", ""treatment"": ""Cigarette price"", ""outcome"": ""Youth smoking participation"", ""sign"": ""+"", ""original_sign"": ""-"", ""avg_similarity"": 0.8139}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: +

## Example 2
Treatment: Cigarette price
Outcome: Youth smoking participation
Context: This estimate pertains to U.S. teen smoking during 1991–1997 across states, using Monitoring the Future, YRBS, and Vital Statistics Natality data and exploiting within‑state over‑time variation in cigarette prices (prices instrumented with state excise taxes), with state and year fixed effects. The negative effect on smoking participation is concentrated among older teens (high‑school seniors); price effects are insignificant for younger teens.
Sign: +


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Cigarette price
Outcome: Cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Cigarette price,Cigarette consumption,-,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""None"", ""original_sign"": ""-"", ""avg_similarity"": 0.8537}, {""paper_id"": ""7506"", ""treatment"": ""Cigarette price"", ""outcome"": ""Youth smoking participation"", ""sign"": ""None"", ""original_sign"": ""-"", ""avg_similarity"": 0.8139}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: None

## Example 2
Treatment: Cigarette price
Outcome: Youth smoking participation
Context: This estimate pertains to U.S. teen smoking during 1991–1997 across states, using Monitoring the Future, YRBS, and Vital Statistics Natality data and exploiting within‑state over‑time variation in cigarette prices (prices instrumented with state excise taxes), with state and year fixed effects. The negative effect on smoking participation is concentrated among older teens (high‑school seniors); price effects are insignificant for younger teens.
Sign: None


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Cigarette price
Outcome: Cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Cigarette price,Cigarette consumption,-,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""mixed"", ""original_sign"": ""-"", ""avg_similarity"": 0.8537}, {""paper_id"": ""7506"", ""treatment"": ""Cigarette price"", ""outcome"": ""Youth smoking participation"", ""sign"": ""mixed"", ""original_sign"": ""-"", ""avg_similarity"": 0.8139}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: mixed

## Example 2
Treatment: Cigarette price
Outcome: Youth smoking participation
Context: This estimate pertains to U.S. teen smoking during 1991–1997 across states, using Monitoring the Future, YRBS, and Vital Statistics Natality data and exploiting within‑state over‑time variation in cigarette prices (prices instrumented with state excise taxes), with state and year fixed effects. The negative effect on smoking participation is concentrated among older teens (high‑school seniors); price effects are insignificant for younger teens.
Sign: mixed


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Cigarette price
Outcome: Cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",-
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Past cigarette consumption,Current cigarette consumption,+,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette consumption"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""-"", ""original_sign"": ""+"", ""avg_similarity"": 1.0}, {""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""-"", ""original_sign"": ""-"", ""avg_similarity"": 0.8716}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: -

## Example 2
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: -


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Past cigarette consumption,Current cigarette consumption,+,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette consumption"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""None"", ""original_sign"": ""+"", ""avg_similarity"": 1.0}, {""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""None"", ""original_sign"": ""-"", ""avg_similarity"": 0.8716}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: None

## Example 2
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: None


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3268,Rational Addictive Behavior and Cigarette Smoking,Frank J. Chaloupka,1990,Journal of Political Economy,"913, 916, H",https://www.nber.org/papers/w3268,Past cigarette consumption,Current cigarette consumption,+,"This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.","[{""paper_id"": ""3322"", ""treatment"": ""Past cigarette consumption"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""mixed"", ""original_sign"": ""+"", ""avg_similarity"": 1.0}, {""paper_id"": ""3322"", ""treatment"": ""Past cigarette price"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""mixed"", ""original_sign"": ""-"", ""avg_similarity"": 0.8716}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: mixed

## Example 2
Treatment: Past cigarette price
Outcome: Current cigarette consumption
Context: This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.
Sign: mixed


# Target Context
This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.

# Target Treatment–Outcome Pair
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
3322,An Empirical Analysis of Cigarette Addiction,"Gary S. Becker, Michael Grossman, Kevin M. Murphy",1990,American Economic Review,"913, H",https://www.nber.org/papers/w3322,Past cigarette consumption,Current cigarette consumption,+,"This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.","[{""paper_id"": ""3268"", ""treatment"": ""Past cigarette consumption"", ""outcome"": ""Current cigarette consumption"", ""sign"": ""-"", ""original_sign"": ""+"", ""avg_similarity"": 1.0}]","# Role
You are an expert economist.

# Task
You are given examples in which the same or comparable treatment–outcome pair is observed across multiple contexts, potentially with different causal signs.
Predict the most likely sign for the treatment–outcome pair in the target context.

# Sign Definitions
- '+': The treatment increases the outcome (positive and statistically significant effect).
- '-': The treatment decreases the outcome (negative and statistically significant effect).
- 'None': No statistically significant effect.
- 'mixed': The effect varies across subgroups or specifications.

# Reference Examples
## Example 1
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption
Context: This paper analyzes individual-level cigarette demand in the United States using NHANES II survey data collected 1976–1980 (adults up to age 74). It exploits cross-state and local variation in cigarette prices and excise taxes (including nearest-border prices) together with respondents' recalled past, current, and peak smoking to estimate dynamic demand and an addictive stock. The institutional setting highlights tax-driven price variation and health-policy relevance for current, former, and ever smokers.
Sign: -


# Target Context
This paper analyzes annual state-level per-capita cigarette sales across U.S. states (50 states + DC) over 1955–1985, exploiting cross-state and over-time variation in retail prices and state excise taxes, along with smuggling and demographic controls. The unit is state-year aggregate cigarette packs sold; the institutional setting includes large heterogeneity in state cigarette taxes and industry pricing (including 1982–83 industry price increases and federal tax changes). The study uses panel methods and instruments to estimate short- and long-run price elasticities and intertemporal addiction dynamics.

# Target Treatment–Outcome Pair
Treatment: Past cigarette consumption
Outcome: Current cigarette consumption

# Output Format
Respond with a JSON object containing:
- predicted_sign: ""+"", ""-"", ""None"", or ""mixed""
- reasoning: A concise explanation of your reasoning
",+
